label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
real,-268.6091,49.687237,7.0629463,6.9879146,-22.994316,-32.073383,-24.1015,-18.728855,-14.918446,-10.095947,-26.270702,-5.323707,-9.281879,6.2850637,-9.168807,-13.557866,-1.6541808,-6.7886868,1.63036,4.34708,3.8460562,5.76706,-1.4406042,-3.3021975,-2.5227692
real,-324.36914,51.53463,5.959668,26.087633,-14.357786,-26.259926,-15.737658,-11.142797,-26.201431,-10.059512,-13.917598,-18.729803,-11.444827,-7.6239414,-10.130881,-10.506515,-8.623149,-0.42973253,3.0470104,-1.908675,-3.111575,-6.336724,-8.678503,-1.0768893,-9.423006
real,-309.8156,89.15401,5.823233,47.214706,-11.467693,-37.41656,-15.495846,-17.168682,-18.785181,-6.0393033,-18.946777,-5.1984725,-14.551103,-3.8951252,-12.398002,-4.553911,-8.046321,-7.426084,-3.721461,-8.100847,-7.3330493,-5.7417035,-6.7276883,-4.755299,-8.886351
real,-275.81305,65.11405,3.674567,27.704351,-9.4056835,-19.842146,-28.610678,-28.449463,-21.965197,-3.1613371,-25.493534,-6.3492665,-17.236214,-2.8648531,-8.86044,-14.703839,-6.335647,-6.341846,-5.0005803,-3.8827689,-3.5715504,-4.1601915,-4.6368837,-2.5442748,1.176108
real,-301.326,32.84364,5.076339,14.103083,-6.088116,-25.128342,-46.657787,-23.421267,-10.846148,0.43519697,-19.805256,-5.3138614,-7.6906896,2.830599,-11.63715,-6.877761,-5.6306443,-2.5548835,-9.326823,-9.807406,-3.0570247,-5.9982257,-4.5964103,-1.0560272,0.7348834
real,-276.3877,118.66209,-40.245125,-4.663483,-24.894941,-30.471863,-24.985983,-18.73423,-20.504848,-15.716208,-5.7850266,-1.2167196,-28.03008,15.997028,-11.4099455,-6.8899198,-5.815231,-12.688235,-2.6653602,-9.259628,-10.7487,-10.671768,-8.719219,-5.058586,-3.7850761
real,-350.05762,92.532265,-7.8723173,27.23483,-18.959503,-38.390312,-23.596981,-19.170723,-14.807255,-18.699207,-20.458809,5.2370005,-20.218285,2.173273,5.841733,-12.275589,-5.4647994,-3.4934685,-9.537616,-10.152106,-7.019567,-7.9401083,-13.327007,-4.7844048,-6.740087
real,-309.2497,119.82009,4.288385,2.8533688,-27.464188,-41.07344,-12.53141,-25.773527,-29.0061,-2.3211198,-13.932469,-8.095053,-12.547611,-3.0646086,-8.8694935,-15.212486,-8.903067,-15.793236,-4.298614,-9.438307,-13.771597,-0.013644542,-8.297491,-4.1653423,1.5181319
real,-282.55878,90.87137,-8.748867,9.705892,-22.400118,-19.308727,-17.79486,-32.5279,-24.935772,-4.3067913,-9.297873,-2.6801753,-17.783354,3.1748304,-8.975128,-12.995163,-10.366871,-8.154934,-1.1011164,-8.993359,-9.258486,-2.5352302,-6.786581,-6.537067,-3.1828687
real,-277.91125,74.4532,-7.5837064,6.8752327,-24.441587,-24.090702,-18.113445,-16.44098,-27.437279,1.2054726,-17.20914,-7.8964243,-17.739021,-1.3333683,-12.070449,-11.155448,-12.006114,-8.131407,-2.2516694,-16.034088,-1.8523338,-2.4251993,-7.222208,-1.3476073,-6.081553
real,-276.5058,72.74001,1.0203788,8.865565,-29.381271,-18.442404,-16.830734,-28.7576,-24.579714,7.2092366,-14.161314,-2.2278636,-16.145117,1.2539556,-15.894637,-22.571264,-4.8240623,-12.164928,0.80790883,-10.029493,-9.187872,-2.8410218,-7.81413,-4.4296956,-9.992434
real,-273.4567,64.33013,11.894603,11.208181,-24.852415,-21.171343,-27.335276,-22.90109,-25.759441,2.3859122,-15.860597,-11.444026,-16.536926,-0.9547959,-15.552481,-13.401804,-8.220844,-7.8840594,-8.996847,-7.3074307,-6.6986723,-2.2102711,-4.7843633,0.6483717,-5.8526287
real,-302.57303,78.04978,0.2959051,36.314278,-8.678719,-34.353348,-18.978506,-20.569256,-18.615273,-11.545192,-26.751293,5.677824,-15.962692,-3.8750052,-4.4579787,-15.906411,-3.0711098,-9.1869755,-9.816841,-8.770171,-8.223729,-10.9108715,-10.597721,1.7377044,-3.6391053
real,-261.61267,53.76809,1.1297028,15.013345,-12.268582,-19.779095,-39.128498,-13.702092,-10.588658,-6.8946013,-21.767406,1.8538663,-12.351863,8.978642,-9.189674,-14.555135,-6.4925575,-8.569146,-11.920829,-4.3343687,-9.015334,-6.7599297,-7.105794,-6.869447,-8.946471
real,-284.59885,87.70283,-13.892061,13.209178,-21.9779,-20.150707,-9.541914,-27.00199,-9.800655,-5.057558,-22.464476,1.878757,-23.53812,8.009375,-6.6970944,-8.552198,-8.858927,-9.913214,-3.2665126,-13.885628,-5.1567907,-3.8238509,-11.715131,-3.8200948,-9.045549
real,-293.02676,85.56787,5.626573,29.029573,-17.269585,-37.293213,-12.190254,-26.921833,-25.011644,-3.0550835,-20.559017,1.6281713,-21.151308,9.425064,-13.530489,-9.5211935,-8.864149,-12.557687,-6.1441445,-11.397784,-2.8815715,-9.01025,-9.746731,-5.5710015,-8.571648
real,-298.01135,69.58969,17.450228,26.797546,-12.706161,-22.771248,-23.341593,-29.28365,-24.375162,0.83959657,-27.726257,-5.052124,-14.589472,2.3358586,-12.853674,-11.628458,-1.107216,-7.521822,-12.499409,-3.5701315,-8.284965,-12.927826,-5.2763214,-11.632456,-7.3485756
